 (-9.553034105671134313e-01-7.835732388460081201e-20j), (2.113370627316153022e-02-5.152863742014900432e-17j)
 (-1.199504657922222606e+00+1.842417616582971142e-17j), (-2.222830268831789136e-01+5.069860611821199856e-17j)
 (-9.956110782865460473e-01-9.899955069050600594e-18j), (-1.760553599886228657e-02+9.070527060806467226e-17j)
 (-1.211264081939677162e+00-5.805673257137759888e-17j), (-2.324752318371601234e-01-8.722981311031733731e-17j)
 (-9.849379006913457912e-01-2.732977892930775553e-17j), (-5.366346691104629391e-03-1.293517477893119045e-16j)
 (-1.033295646598248352e+00+8.384059844491510843e-17j), (-5.294199310032612904e-02+2.035823831326901912e-17j)
 (-9.943487213082785603e-01+5.217102926969099965e-18j), (-1.321357319527496910e-02-1.933281598479563679e-16j)
 (-1.052114175186885214e+00-2.604447080635334688e-17j), (-7.019813782358794163e-02-5.582638507525231079e-17j)
 (-1.013373573144415785e+00-9.933852988786539093e-17j), (-3.067725237742285199e-02-1.323147096963889235e-16j)
 (-9.739212966049713982e-01-9.333717270756068879e-17j), (9.554701237679808640e-03-7.489591564359508103e-17j)
 (-9.690601739911772761e-01+4.930789188951380582e-17j), (1.519489411803012779e-02+3.408275793990056787e-17j)
 (-8.177608860681517822e-01-4.705934467520538254e-17j), (1.672726450178218527e-01-1.462277585282885431e-16j)
 (-9.030351259902407168e-01+1.027284031766221445e-16j), (8.277626030239179644e-02-8.132045313592295052e-17j)
 (-8.557303335234218711e-01-4.484059269184957609e-17j), (1.308582997258232739e-01-3.724791085401451046e-16j)
 (-1.241568487513726726e+00-8.750148161921177391e-17j), (-2.542032160374806948e-01-2.370730070023152728e-16j)
 (-9.013407527981145417e-01-4.993632935000429426e-17j), (8.680054769633202549e-02+1.885665896195806334e-17j)
 (-8.948161972310489931e-01-7.062479060230241534e-17j), (9.410052259398449248e-02-3.062302791421817034e-16j)
 (-1.102174507485558674e+00-8.509772408764847436e-17j), (-1.124829784959898854e-01-1.999254596533199690e-16j)
 (-1.046544414700844250e+00-1.057090579079014044e-16j), (-5.607868719085253723e-02-2.353421866541594199e-16j)
 (-1.071914128648470355e+00-6.687769302650241845e-17j), (-8.067481373985149751e-02-1.183537880354242266e-16j)
 (-1.147278125686383543e+00-9.328797703398415755e-17j), (-1.552658349782397307e-01-1.293187880432683357e-16j)
 (-9.677719953893116900e-01+1.038535610861732879e-16j), (2.501265904232405704e-02-2.971454889893347586e-16j)
 (-1.061230846508589565e+00+5.067433899255159949e-17j), (-6.767444090604582407e-02+9.345730098248463230e-17j)
 (-1.024520477110506311e+00+1.114716127834525839e-16j), (-3.019293336581301695e-02-1.789578163416068441e-16j)
 (-1.114842447037522222e+00-3.774207712309817213e-17j), (-1.197443786552335326e-01-9.474244235042449421e-17j)
 (-1.104861599627816826e+00-2.431989817321643564e-17j), (-1.089936205879034892e-01+3.151917810716067358e-17j)
 (-8.555629112811954373e-01+5.028963695669942466e-17j), (1.410743639613332712e-01+5.837669285921777545e-17j)
 (-1.108913712135067398e+00-3.132269224266452425e-17j), (-1.115077556195915864e-01-6.078243583600943681e-17j)
 (-1.108407610834535095e+00-9.430777759742402983e-17j), (-1.102335884500611901e-01-1.441601605318792894e-16j)
 (-9.495837882845288291e-01-1.630103048529639492e-17j), (4.935768409109621974e-02+6.301606436949394077e-17j)
 (-1.166057692805497314e+00-5.267999442703716142e-18j), (-1.663493867900906198e-01-5.060627952696127983e-17j)
 (-1.155447957050672825e+00-1.457767757960352876e-17j), (-1.557589304896586924e-01-1.292653071195355754e-16j)
