 (-3.144732207735998885e-03+4.835476637155000951e-17j), (-9.999888744757139403e-01-6.711211447685272870e-19j), (-7.032046790806840697e-01-1.095022510166909819e-17j), (-3.743149999240192316e-01+1.118278646766723907e-16j), (-1.875666533758380827e-01-1.252083050714827806e-16j), (-8.793890841106176415e-02+1.739174364659709535e-16j), (-3.772789267871828195e-02-4.725344476694674228e-18j), (-1.257861783874193035e-02+2.566047429972546639e-18j)
 (-9.434072225896334568e-03-1.014455446729512013e-16j), (-9.999394282002936896e-01-2.235776667969258099e-17j), (-6.987190623523682476e-01+6.784958879457736685e-17j), (-3.684753948102507115e-01+2.476376308874206439e-16j), (-1.813851358726515373e-01-6.035983564331520666e-17j), (-8.167210186320686405e-02+1.420248248198891404e-17j), (-3.144219091912110742e-02-2.084344404852524090e-16j), (-6.289433316068358641e-03-6.145253686461224699e-17j)
 (-1.572303905704065460e-02+1.326562557718569136e-16j), (-9.998504269583001758e-01+8.921444312470772736e-17j), (-6.942058061407230252e-01+2.257243870984471284e-17j), (-3.626212137816674508e-01+1.517542601997545674e-16j), (-1.751964432518698378e-01-2.850441017967970080e-17j), (-7.540206458240224230e-02+6.565160960678245591e-17j), (-2.515524538937670765e-02-1.503840032223012685e-16j), (-2.293720768875573231e-16-1.139787472183152578e-16j)
 (-2.201138392622699683e-02+3.508760122727938940e-17j), (-9.997218742703886107e-01-9.616504641207779347e-17j), (-6.896650889782626193e-01-5.912436339128302146e-17j), (-3.567526884142327992e-01+1.400041107352256672e-16j), (-1.690008203218495986e-01+6.089614465714374980e-18j), (-6.912904459478495800e-02+4.649956415772510293e-17j), (-1.886730478446761033e-02-3.167912870928560740e-17j), (3.042011087472929157e-17-4.860083799283807148e-17j)
 (-2.829885808311760967e-02-1.468814219557357207e-16j), (-9.995537752217636962e-01+2.848958048640159804e-17j), (-6.850970904837813125e-01+1.206736533615471206e-16j), (-3.508700508513309946e-01+1.050555042264589298e-16j), (-1.627985121650945832e-01-1.294236831181064337e-16j), (-6.285329004448272916e-02+5.169228979559709435e-17j), (-1.257861783874193035e-02-5.397414395967622554e-17j), (6.289433316067754090e-03-1.297187074435171540e-17j)
 (-3.458521281181668738e-02-2.319043394816144913e-17j), (-9.993461364619808940e-01-9.226365331460595027e-17j), (-6.805019913552531330e-01-9.631249790753582355e-17j), (-3.449735337945915026e-01+1.627419986965916691e-16j), (-1.565897641285584896e-01-8.966625404646738285e-17j), (-5.657504918379272635e-02+1.498092860460478700e-16j), (-6.289433316068362978e-03-1.184231087637678334e-16j), (1.257861783874117921e-02-1.883385050681404788e-17j)
 (-4.087019944071142163e-02+2.320177470288564558e-16j), (-9.990989662046811937e-01-2.449668072557198507e-17j), (-6.758799733626792428e-01-1.918792815608361248e-16j), (-3.390633704946757199e-01+9.637841739962293650e-17j), (-1.503748218139368542e-01+9.839061208802373569e-17j), (-5.029457036336709014e-02+1.769170966645167284e-17j), (-2.229327833447314341e-16-1.708346582805918499e-16j), (1.886730478446701706e-02-1.492560838257796043e-16j)
 (-4.715356935230552438e-02-9.499996275752486939e-18j), (-9.988122742272690369e-01+1.953060109471938034e-17j), (-6.712312193409039063e-01+1.209451375855374806e-16j), (-3.331397947420584593e-01+2.507332449303012708e-16j), (-1.441539310679589292e-01+3.304201311196602513e-17j), (-4.401210202238208663e-02-9.413967221014257316e-17j), (2.065014825802791150e-17-1.058454962011980141e-16j), (2.515524538937590274e-02+1.465277974789370823e-16j)
 (-5.343507399305713612e-02+1.449828550441060709e-16j), (-9.984860718705221849e-01-1.071514060782458574e-16j), (-6.665559131823723948e-01-2.046878023460606774e-16j), (-3.272030408577722982e-01+1.019497223097058800e-16j), (-1.379273379726538573e-01-5.891240423169412602e-17j), (-3.772789267871832358e-02+1.087340333697571809e-16j), (6.289433316067728937e-03-6.934596293789336786e-17j), (3.144219091912050373e-02-9.057340238925476514e-17j)
 (-5.971446488320962531e-02-5.105550131433532981e-17j), (-9.981203720381462974e-01-3.295843683266187347e-17j), (-6.618542398298685736e-01+4.453968615112497508e-17j), (-3.212533436841446544e-01+1.546550003693631357e-16j), (-1.316952888356245355e-01-9.674302219547059473e-17j), (-3.144219091912113517e-02-9.455783877861367058e-17j), (1.257861783874119309e-02-7.564872300498207548e-17j), (3.772789267871713703e-02-2.893399018541245729e-16j)
